"ID","log2FoldChange","pvalue","padj","AD2A241","AD2A242","AD2A243","AD2A244","AGA241","AGA242","AGA243","AGA244","Gene.name"
"ENSG00000000003",-0.249446994476409,0.00311238018092031,0.0164109236242359,1201.7537963168,1114.08760241638,1173.69311351282,1103.55693933985,1259.16530788912,1395.90956860448,1544.00377173441,1259.22890477396,"TSPAN6"
"ENSG00000000419",-0.0685529044938278,0.517483195601156,0.71835476166955,1090.26776882766,1103.50747323863,1116.32785869792,1119.52480502162,1118.17012566825,1167.94853018318,1417.8400394137,937.519327577184,"DPM1"
"ENSG00000000457",-0.105334999162497,0.381115776430866,0.6013752643002,314.784077616407,337.506120770014,335.013088119006,310.486277145457,405.361148884988,383.687509112387,306.397635636012,296.500990923898,"SCYL3"
"ENSG00000000460",0.308449778996591,0.000470545021569707,0.0031961695862115,482.83286905225,509.962226367231,518.581903526681,495.003836134757,384.799351477778,407.140290842973,416.540576550918,410.539833586936,"C1orf112"
"ENSG00000000971",2.19182431155437,1.06659002406596e-58,1.82375173345784e-56,1105.84302266806,1157.46613204513,881.130313956838,977.588221183695,264.365966664123,228.899149690519,159.206614595183,250.885453858683,"CFH"
"ENSG00000001036",0.354362713268067,5.76809295661112e-06,5.91638275575933e-05,3289.65756113188,2974.07431186366,3285.88179579737,3361.23572601182,2453.707823927,2498.19030994202,2838.68397721599,2307.18584840377,"FUCA2"
"ENSG00000001084",-0.223793250448661,0.022701031313564,0.0833281545739692,693.508670998647,584.023130611435,749.190227882572,723.876577573408,766.661303325955,867.752924031682,847.099345581916,728.648184173304,"GCLC"
"ENSG00000001167",0.338569111166982,7.85142681383368e-06,7.91244826575467e-05,1438.66160473124,1515.07449825285,1589.01755837268,1547.99586748235,1231.74957801284,1182.95831049076,1100.4281096862,1302.4436240989,"NFYA"
"ENSG00000001460",-0.33727188053988,0.00055922837359595,0.00370753876998423,544.314134211704,457.061580478514,601.187870460134,556.213987914861,679.518447647782,700.76911810991,629.817362140691,717.844504342069,"STPG1"
"ENSG00000001461",-0.141261978014516,0.0073070514339063,0.0335886913771291,8727.88040203617,8813.24760506024,8838.83846187953,8361.83899535165,9275.32889707123,9747.91419850077,9712.60478976901,9576.86196595489,"NIPAL3"
"ENSG00000001497",0.0197877573023908,0.831135506293156,0.918045977017452,1337.0125796676,1342.61839265564,1428.39484489097,1420.25294202822,1195.52164924775,1242.99743172106,1432.85953135664,1585.74011745129,"LAS1L"
"ENSG00000001561",-0.272618464240356,0.102770612473153,0.256492960931815,165.589540829464,132.251614721792,211.104137718826,155.243138572728,215.409306170767,206.384479229157,229.297576995578,147.65029102688,"ENPP4"
"ENSG00000001617",0.367143554255098,0.000415856724110558,0.00288871902998227,1586.21664111393,1721.38701721885,1501.82237105404,1500.09227043705,1170.06418579121,1318.04633325893,987.281270382706,1418.88328450222,"SEMA3F"
"ENSG00000001629",-0.126300466391053,0.0770959965899411,0.20946633611655,3783.96693301389,3965.43241581822,3936.40378539832,3826.07803808101,4637.17488193068,4281.53983273578,4226.48503274381,3778.88712319203,"ANKIB1"
"ENSG00000001630",0.243620134890238,0.011597681612553,0.0490513525119122,545.13388441383,520.542355544974,491.046581215529,518.068531008419,424.94381308233,452.169631765698,486.631538951313,387.732065054328,"CYP51A1"
"ENSG00000001631",-0.0950821189223814,0.186241435274853,0.383322319163586,1110.76152388081,1105.62349907418,1205.81765620916,1058.31465324151,1239.58264369177,1194.21564572144,1182.53466564095,1164.39660403312,"KRIT1"
"ENSG00000002016",0.0909908196423422,0.467332277730177,0.676671227486425,294.290322563256,303.649707401235,267.322087437426,282.986064026859,314.301760367346,272.990379344021,215.279384515499,276.094040131565,"RAD52"
"ENSG00000002330",0.0452033769094959,0.597697019919982,0.774304023807753,3074.06325797273,2894.72334303059,2777.62563813738,3445.51057266558,2617.22306997481,2977.5651685152,3111.03743111467,3116.26142687627,"BAD"
"ENSG00000002549",-0.220246737286924,0.000113707171837418,0.000903617770066509,3219.15904374904,3046.01919027232,3079.36687846374,3072.03993644205,3476.90202823814,3652.06717108685,3669.76253139211,3669.64991600954,"LAP3"
"ENSG00000002586",-0.652568122111724,2.43970340172827e-15,6.62509335617659e-14,22508.7010499774,21897.6933591755,17647.8469912553,21693.2326323286,33268.0090716551,34828.3189811895,33117.9797341866,30439.9681289401,"CD99"
"ENSG00000002745",0.722575525576545,0.000188655626488758,0.00142637587374396,195.100548106002,130.135588886244,187.010730696568,122.420303560209,82.2471896288381,86.3062367685565,94.1221495091017,123.642113624136,"WNT16"
"ENSG00000002746",1.95421625820169,2.03914312921655e-27,1.13724254805052e-25,251.663312052701,265.561242361359,223.724493778103,167.662589658547,59.7271258018943,57.2247874226299,53.0688715317276,64.8220789874109,"HECW1"
"ENSG00000002822",0.209951595101647,0.00295019981287605,0.0157155457337731,2365.79908333581,2229.23321775053,2485.06283858139,2538.89064340085,2064.99193960976,1974.72422171534,2052.66389886871,2227.95886297472,"MAD1L1"
"ENSG00000002834",0.0625866445381072,0.211123390741753,0.416359944225814,31517.7557713428,31892.7413933896,31683.9775393646,33411.8718354471,30149.4697982284,31013.0204492577,31216.5120542102,30672.8474497467,"LASP1"
"ENSG00000002919",0.13564802882434,0.0932591281055786,0.239536486187323,884.510468094019,914.123160957028,1014.2177051274,940.329867926241,825.409295917982,813.342470416723,925.200703685213,849.889480057165,"SNX11"
"ENSG00000003056",0.0578678356205519,0.334333285372682,0.557060100407479,3228.99604617455,3377.17723353569,3396.02308504198,3480.99471862506,3090.14441034063,3212.09298582106,3353.35190112747,3297.523166267,"M6PR"
"ENSG00000003137",-0.580748289099352,7.35016245914399e-05,0.000611596405691339,509.064875520284,476.105812998452,362.548410430157,302.502344304574,642.311385672831,661.368444802526,509.661426597157,656.62365196507,"CYP26B1"
"ENSG00000003249",-0.497337904769912,0.000228699092852421,0.0016969756245988,128.700781733791,129.077575968469,139.971221748352,135.726858295014,202.680574442494,168.860028460219,180.233903315301,201.668690183056,"DBNDD1"
"ENSG00000003393",0.118885092044702,0.0985497191130921,0.249338801528409,1447.67885695462,1479.10205904852,1640.64628770609,1608.31891561347,1422.68055393693,1354.63267275865,1466.90371309398,1441.69105303482,"ALS2"
"ENSG00000003400",-0.193726823784383,0.310403210428969,0.534490862152939,116.404528701901,96.2791755174648,61.9544752000902,95.8071940905981,116.516851974187,106.944684691472,94.1221495091017,109.237207182489,"CASP10"
"ENSG00000003402",-0.0410971567697653,0.553461056534717,0.741367736657959,3177.35178344061,3289.36216136042,3171.15128616758,2959.3777730207,3511.17169058349,3066.68573909143,3085.00364508024,3297.523166267,"CFLAR"
"ENSG00000003436",1.39638864785536,3.13350145188283e-48,4.31480376914131e-46,3018.32024422815,2896.83936886614,2399.01495635905,2473.24497337581,1120.12839208799,1086.33284976074,930.207200999527,960.327096109791,"TFPI"
