ID,log2FoldChange,pvalue,padj,AD2N1,AD2N2,AD2N3,AD2N4,AGN1,AGN2,AGN3,AGN4,Gene.name
ENSG00000169570,-0.530968861,0.003163249,0.01464696,154.5830297,168.8110987,142.8200511,192.0639409,237.3103458,251.123637,269.2607486,195.280557,DTWD2
ENSG00000169583,0.002004881,0.994278176,0.995981082,360.345576,338.6270253,561.7588678,436.673677,449.2294612,416.8652374,592.7831689,235.71744,CLIC3
ENSG00000169592,0.187904235,0.166014406,0.287889917,2134.916978,2071.95527,2427.940869,1916.109599,1677.774379,1746.983435,1984.134337,2096.800324,INO80E
ENSG00000169594,-0.280929572,0.068633738,0.149647909,1125.949365,1035.977635,1092.573391,971.1912484,1464.878678,1438.101361,1024.828933,1204.230101,BNC1
ENSG00000169598,0.162791745,0.323589313,0.467525431,242.3193438,327.5739176,277.3089326,244.6097361,250.9825468,250.2865582,214.9990768,258.4015451,DFFB
ENSG00000169599,-0.682965615,0.006033005,0.024106237,1061.191609,1105.310765,892.6253196,1031.890701,1077.174121,1204.556379,2298.442511,1989.297391,NFU1
ENSG00000169604,0.195278818,0.329573141,0.473643296,15183.60475,14334.87579,12446.76746,16204.94203,15855.84681,15074.11485,10511.40724,9364.590345,ANTXR1
ENSG00000169607,0.176553982,0.300557004,0.443829054,1168.773042,1141.484572,1029.494535,1060.881485,844.7467041,1151.820415,767.8538457,1128.287662,CKAP2L
ENSG00000169609,-0.373708021,0.004110493,0.01794953,414.6585324,500.4043282,407.0371457,470.1942705,558.6070691,575.0731287,568.2118458,622.3334921,C15orf40
ENSG00000169612,-0.343214032,0.106463053,0.207033339,679.9564347,556.6746944,602.224549,531.7996855,559.5836549,592.6517833,925.5198353,930.0483091,FAM103A1
ENSG00000169621,-0.325789333,0.068726695,0.14972736,217.2518255,191.9221419,139.2495499,179.3804731,236.33376,222.6629581,211.9276614,242.621298,APLF
ENSG00000169627,-0.339865194,0.436608865,0.576786727,32.37887784,22.1062153,41.65584825,24.46097361,25.39123041,19.25281217,66.54733329,41.42314844,BOLA2B
ENSG00000169629,-0.536387006,0.020584299,0.060985541,159.8054293,140.6759155,88.07236487,106.9035143,188.4810565,196.7135156,143.3327179,190.3492298,RGPD8
ENSG00000169635,0.631686746,0.053650907,0.124790364,272.6092618,261.2552717,260.6465933,294.4376453,247.0762036,253.6348734,84.97582559,116.3793218,HIC2
ENSG00000169641,0.288097526,0.159646183,0.279562405,3411.271453,2973.285958,2858.781357,3316.726829,3212.967233,3096.354444,1796.777999,2179.646621,LUZP1
ENSG00000169660,-0.141782172,0.404583518,0.546987748,459.5711694,449.1581018,533.1948576,462.9465746,664.0783339,526.5225589,441.26001,468.4760836,HEXDC
ENSG00000169679,-0.023528249,0.90720532,0.941009434,1897.820034,1767.492396,1788.82114,1822.795515,1280.303964,1800.556477,1775.278091,2540.619771,BUB1
ENSG00000169682,0.245691626,0.160316165,0.280487116,382.2796545,323.5546058,501.0603461,370.5384521,324.2264807,300.5112856,364.4746254,340.2615765,SPNS1
ENSG00000169683,0.308303918,0.026370599,0.07329265,991.2114539,1048.035571,1208.019599,1045.480131,903.3418512,876.4214931,727.9254457,957.6637414,LRRC45
ENSG00000169684,-0.274339847,0.625098223,0.737251336,12.53375916,7.033795777,16.6623393,14.49539177,7.812686281,25.1123637,7.166635893,20.71157422,CHRNA5
ENSG00000169689,0.057223064,0.798166756,0.866529649,1482.117021,1573.560598,1836.427824,1458.598797,1075.220949,1198.696827,1756.849599,2073.129953,CENPX
ENSG00000169692,-0.067073573,0.62173268,0.734317205,2221.608812,2161.38496,2524.344404,2313.826911,2068.408693,2247.556551,2618.893516,2725.051408,AGPAT2
ENSG00000169696,0.031104281,0.809418945,0.874178404,1010.012093,1148.518368,1141.370242,1041.856283,941.4286969,1003.657469,1107.757148,1196.339978,ASPSCR1
ENSG00000169710,0.193104948,0.397343184,0.540096855,7968.337389,7717.078796,11094.73764,8292.270053,9704.332947,8997.759913,4936.788325,7037.990174,FASN
ENSG00000169714,-0.36341619,0.026552554,0.073643839,12076.27696,11848.9314,12349.17375,11654.29498,12941.71482,12490.05263,18465.34928,17762.64056,CNBP
ENSG00000169715,0.697898189,0.001677784,0.008937121,1173.995442,1143.494228,1674.5651,985.6866402,731.4627531,559.1686317,961.3530148,816.6277836,MT1E
ENSG00000169718,0.316296858,0.101291133,0.199655575,1557.319576,1569.541286,2128.018762,1532.887679,1577.186043,1628.955325,1110.828563,1132.232724,DUS1L
ENSG00000169727,0.087435112,0.65312057,0.759037177,4791.029441,4447.368587,6679.217725,4680.199617,4084.081753,4037.231004,5443.571863,5820.938622,GPS1
ENSG00000169733,0.127973644,0.316036314,0.460018059,2270.699369,2556.282351,2964.706228,2411.670805,2496.153267,2381.489157,2274.894993,2182.605417,RFNG
ENSG00000169738,-0.440880871,0.076639322,0.162193398,1243.975597,1420.826747,1936.40186,1314.550841,1508.825038,1402.944052,2509.346368,2608.672087,DCXR
ENSG00000169740,-0.505069523,0.031184337,0.083250761,793.8047471,702.3747498,748.6151014,724.7695884,810.5662017,701.472026,1427.184348,1276.227478,ZNF32
ENSG00000169744,-0.259240707,0.09327705,0.187729023,703.9794731,643.0898996,517.7226854,718.4278545,814.4725448,814.4776626,668.5447483,795.9162094,LDB2
ENSG00000169750,-0.353526554,0.05322019,0.123983529,528.5068448,623.9981682,658.1624023,667.6939833,721.6968952,600.1854924,909.1389533,936.9521672,RAC3
ENSG00000169756,-0.323595093,0.015751232,0.049843885,2621.644625,2549.248555,2495.780394,2711.544223,2730.533855,3028.551062,3606.865464,3623.539223,LIMS1
ENSG00000169758,0.100798261,0.811213807,0.875372944,11.48927923,18.08690343,17.85250639,19.02520169,15.62537256,20.92696975,13.30946666,11.83518527,TMEM266
ENSG00000169760,-0.763440575,2.71E-10,9.16E-09,2699.98062,2365.365037,2139.920433,2525.822015,4110.44957,4064.854604,4486.314069,3860.242929,NLGN1
ENSG00000169762,-0.223372612,0.234437043,0.369754245,494.0390071,536.578135,448.692994,553.5427731,453.1358043,533.2191892,757.6157944,631.2098811,TAPT1
ENSG00000169764,-0.713807777,0.000680725,0.004421673,5365.493402,5369.800662,4179.86683,5294.441843,6117.333358,6551.815689,10159.21828,10320.28156,UGP2
ENSG00000169783,-0.092889035,0.852932604,0.904065334,13.57823909,16.07724749,16.6623393,23.55501162,20.50830149,25.1123637,5.119025638,23.67037054,LINGO1
ENSG00000169813,-0.097869562,0.603160984,0.718954299,11448.54452,11015.92902,12564.594,10860.67228,9791.249082,9666.585866,13862.32143,15791.09595,HNRNPF
ENSG00000169814,0.192404497,0.247848686,0.384985328,2004.356986,1893.095892,2049.467734,1971.37328,1518.590896,1377.831688,2171.490676,1863.055415,BTD
ENSG00000169826,0.118747583,0.313829825,0.457854526,1751.592843,1641.8889,1506.751539,1679.653521,1334.016182,1603.005883,1588.945558,1534.629023,CSGALNACT2
ENSG00000169851,11.6634958,3.92E-29,8.08E-27,626.6879582,477.2932849,686.7264125,485.5956242,0,0,0,0,PCDH7
ENSG00000169855,0.775021094,0.019343686,0.058199486,9620.704639,9211.257984,8796.524983,10249.14794,8204.297181,7986.568735,2773.488091,3169.857121,ROBO1
ENSG00000169857,-0.21094532,0.323178298,0.46726912,678.9119547,563.7084902,923.569664,684.001299,631.851003,717.376523,968.5196507,980.3478465,AVEN
ENSG00000169860,-0.937585333,0.006614199,0.025767817,20.88959861,15.07241952,20.23284058,20.83712567,39.06343141,47.71349103,26.61893332,33.53302493,P2RY1
ENSG00000169862,7.590121581,4.07E-12,1.80E-10,30.28991798,27.13035514,36.89517988,40.76828935,0,0,0,0,CTNND2
ENSG00000169871,0.951187159,0.08711144,0.178330381,4436.950744,4471.484458,4384.57557,4660.268453,3796.965533,3694.0287,838.4963995,955.6912105,TRIM56
ENSG00000169884,0.447079263,0.276944097,0.417677265,18.80063875,17.08207546,40.46568115,26.27289758,18.55512992,13.39326064,21.49990768,21.69783966,WNT10B
ENSG00000169891,1.225248362,0.00184668,0.009636565,73.11359513,94.45382901,34.51484569,96.03197046,32.22733091,31.80899402,17.40468717,46.35447564,REPS2
ENSG00000169895,-0.210848529,0.020499926,0.060792224,2968.411962,3010.464593,2705.249802,2832.037167,3308.67264,3396.028651,3275.152603,3349.357431,SYAP1
ENSG00000169902,-0.655835449,3.52E-07,6.60E-06,1649.23381,2038.795947,1749.545626,1852.69226,2813.543647,2602.477958,3255.700306,2816.774094,TPST1
ENSG00000169903,0.15013963,0.702169842,0.796666786,47.00159687,44.2124306,73.79035975,51.63983317,26.3678162,28.46067886,67.57113842,72.9836425,TM4SF4
ENSG00000169905,-0.151191636,0.179712646,0.304891932,3364.269856,3541.01376,2995.650573,3677.299699,3627.039606,3868.978167,3972.363895,3612.690304,TOR1AIP2
ENSG00000169908,3.796151589,1.41E-78,1.60E-75,4154.941163,4809.106656,4597.615479,4562.424559,206.0596007,323.9494917,397.2363895,377.7396632,TM4SF1
ENSG00000169914,0.702270576,0.023970855,0.068294809,411.5250926,450.1629297,385.6141381,511.8685218,338.8752674,417.7023162,170.9754563,152.8711431,OTUD3
ENSG00000169918,-0.482399057,0.382125617,0.525604594,12.53375916,15.07241952,22.61317476,24.46097361,51.75904661,28.46067886,8.190441021,15.78024703,OTUD7A
ENSG00000169919,0.643073493,0.004583315,0.019421965,3369.492255,3506.849609,3746.646008,3238.814098,2887.764167,2712.972358,1397.493999,1876.863131,GUSB
ENSG00000169925,0.399938901,0.068060481,0.14875631,1845.596037,1785.579299,1859.040999,1891.648626,1793.011502,1757.865459,998.2099994,1044.4551,BRD3
ENSG00000169926,0.664046361,0.000312471,0.002365106,5404.13916,5293.433736,5271.250054,5684.005497,4301.860384,3919.202895,2558.489014,2884.82641,KLF13
ENSG00000169933,4.548772921,5.35E-73,5.32E-70,589.0866807,486.3367366,404.6568115,410.4007794,15.62537256,20.08989096,18.4284923,26.62916686,FRMPD4
ENSG00000169951,0.365367918,0.019233925,0.057968001,382.2796545,430.0663704,401.0863103,399.5292356,362.3133263,294.6517341,255.9512819,339.2753111,ZNF764
ENSG00000169955,-0.239722217,0.047939062,0.114909271,472.1049285,482.3174247,434.4109889,525.4579516,542.0051107,571.7248135,556.9499894,591.7592635,ZNF747
ENSG00000169957,0.583638968,0.001813147,0.009517825,1779.793801,1692.130298,2120.877759,1908.861903,1565.467014,1418.01147,969.5434558,1051.358958,ZNF768
ENSG00000169962,3.515308388,3.85E-09,1.05E-07,41.77919722,68.32830184,44.03618243,76.10080678,11.71902942,1.67415758,0,6.903858074,TAS1R3
ENSG00000169964,-0.587401001,0.003660485,0.016398933,800.0716267,889.2727518,910.477826,889.6546697,1108.424866,948.410269,1746.611548,1440.933807,TMEM42
ENSG00000169967,-0.156522752,0.22986618,0.365116712,2152.673137,1998.602829,1644.810922,2156.189525,2153.371656,2163.011593,2380.346922,2169.783966,MAP3K2
ENSG00000169972,0.175133469,0.270993869,0.411290704,1027.768251,942.5286342,1293.71163,1023.737044,844.7467041,853.8203658,1093.423876,1005.004482,PUSL1
ENSG00000169976,-0.064794734,0.792372847,0.86210322,4851.609277,5021.125357,6662.555385,4713.72021,4043.06515,3843.028725,7174.826334,7164.23215,SF3B5
ENSG00000169981,-0.205851212,0.179203578,0.304158128,248.5862234,212.0187013,230.892416,235.5501162,245.1230321,247.7753218,265.165528,311.6598788,ZNF35
ENSG00000169991,0.226778889,0.192266639,0.319773802,781.2709879,756.63546,853.3498055,861.5698482,852.5593904,770.1124868,541.5929125,614.4433686,IFFO2
ENSG00000169992,0.431341089,0.073374274,0.15720233,7362.539029,7533.195278,8552.540729,8143.692287,7960.150735,7316.068624,3925.268859,4225.161141,NLGN2
ENSG00000169994,1.150374897,0.035290245,0.091626666,11.48927923,18.08690343,36.89517988,15.40135375,6.836100496,13.39326064,11.2618564,4.931327196,MYO7B
ENSG00000170004,0.786098199,0.00995229,0.035318518,15314.16474,14563.97657,15945.85871,15352.43181,12593.0737,12480.00768,4509.861587,5892.935999,CHD3
ENSG00000170006,-0.024495393,0.953036273,0.971058433,31.33439791,57.27519419,33.3246786,33.52059346,66.40783339,43.52809708,19.45229742,28.60169774,TMEM154
ENSG00000170011,-0.323331318,0.218467384,0.351922668,473.1494085,496.3850163,439.1716572,509.1506358,819.3554737,780.1574322,397.2363895,402.3962992,MYRIP
ENSG00000170017,0.163649687,0.236679049,0.372476583,9381.518735,8532.999106,7659.915409,8600.297128,7707.215016,9031.243065,6841.065862,6929.500975,ALCAM
ENSG00000170027,0.197419328,0.053225065,0.123983529,16408.77971,15099.54988,16761.12317,15841.65128,13228.83105,13092.74935,14595.3659,14995.17974,YWHAG
ENSG00000170035,-0.033327646,0.830987852,0.889672443,4066.160369,4661.396944,3372.933541,4512.59665,3756.925515,3877.348955,4496.55212,4873.137535,UBE2E3
ENSG00000170037,0.805639577,0.000642235,0.00420615,2285.322088,2169.423583,2532.675573,2061.063517,1671.914864,1603.842962,782.1871175,1117.438743,CNTROB
ENSG00000170043,0.019971681,0.903396853,0.938099756,6850.743863,6778.569473,8838.180831,6493.02955,6637.853582,6015.248185,8531.368128,7377.265485,TRAPPC1
ENSG00000170049,-0.623554479,0.015729056,0.049803454,42.82367715,31.14966701,45.22634953,33.52059346,65.4312476,54.41012135,55.28547689,59.17592635,KCNAB3
ENSG00000170085,-0.019790295,0.93121315,0.957229064,557.7522828,444.1339619,516.5325183,553.5427731,661.1485765,665.477638,369.5936511,403.3825646,SIMC1
ENSG00000170088,-0.271646479,0.220710517,0.354482831,554.618843,454.1822416,416.5584825,521.8341036,730.4861673,729.0956261,434.0933741,456.6408983,TMEM192
ENSG00000170089,-0.233020131,0.333298632,0.477277636,486.7276476,401.9311873,407.0371457,394.9994257,356.4538116,355.7584857,604.0450253,671.6467641,AC106795.1
ENSG00000170100,0.717416595,0.000521707,0.003562082,573.4194818,508.4429519,536.7653589,533.6116094,402.3533435,401.7978192,232.403764,271.2229958,ZNF778
ENSG00000170113,-0.185164853,0.110177688,0.212301413,1068.502969,990.7603766,1100.904561,1196.775783,1189.481486,1256.455264,1329.922861,1178.5872,NIPA1
ENSG00000170122,0.600719236,0.277621403,0.418415269,17.75615882,19.0917314,15.47217221,10.87154383,12.69561521,18.41573338,4.09522051,5.917592635,FOXD4
ENSG00000170142,-0.554820721,0.001234524,0.007114852,3570.032402,3967.060818,3082.53277,3497.013264,4490.34144,4193.764738,6332.234714,5723.298343,UBE2E1
ENSG00000170144,-0.221267466,0.095278476,0.190640909,10456.28858,11006.88556,9195.230959,10343.36799,10670.17629,11303.0749,11736.90198,14089.78806,HNRNPA3
ENSG00000170145,0.166616178,0.574584126,0.69542486,2283.233128,2336.225026,2063.749739,2443.379475,2916.085154,2748.966746,1070.900163,1394.579331,SIK2
ENSG00000170153,0.16466993,0.341394756,0.485633583,2593.443667,2166.409099,2013.762721,2576.555887,2283.257566,2511.23637,1862.301527,1684.54137,RNF150
ENSG00000170161,0.17915533,0.681579105,0.781483076,21.93407854,17.08207546,10.71150384,18.11923971,10.74244364,12.55618185,16.38088204,20.71157422,AL512625.1
ENSG00000170166,-0.343502625,0.64902403,0.756211476,14.62271903,21.10138733,7.141002557,17.21327772,43.94636033,24.27528491,6.142830765,1.972530878,HOXD4
ENSG00000170175,0.073886095,0.73791876,0.823891931,206.8070262,262.2600997,197.5677374,244.6097361,196.2937428,152.3483398,245.7132306,273.1955266,CHRNB1
ENSG00000170185,-0.20337361,0.201175616,0.330954918,1224.130478,1137.46526,1133.039072,1268.34678,1121.120481,1221.297955,1671.873773,1471.508035,USP38
ENSG00000170190,-0.238345494,0.276278812,0.417002347,535.8182043,504.42364,601.0343819,555.3546971,844.7467041,775.9720383,503.7121228,465.5172873,SLC16A5
ENSG00000170191,-0.420700395,0.015292271,0.048746238,615.198679,654.1430073,598.6540477,672.2237932,703.1417653,703.9832624,1049.400256,945.8285561,NANP
ENSG00000170214,0.600578822,0.014944841,0.047920321,101.3145532,99.47796885,148.7708866,105.0915903,93.75223537,75.3370911,75.76157944,54.24459915,ADRA1B
ENSG00000170222,-0.603333058,0.002288252,0.011337833,208.8959861,237.1394005,183.2857323,235.5501162,272.4674341,285.4438674,429.9981536,328.4263912,ADPRM
ENSG00000170234,-0.128414879,0.350646239,0.494852345,533.7292444,525.5250274,415.3683154,506.4327499,574.2324417,565.0281832,502.6883176,524.6932136,PWWP2A
ENSG00000170242,0.079770205,0.655634688,0.761179853,3664.035596,3571.158599,3170.605135,4045.120265,3971.774388,4114.242253,2774.511896,2812.829032,USP47
ENSG00000170248,-0.072180424,0.490701202,0.624725319,8789.298614,9023.355154,8159.785588,9101.294106,9638.901699,9835.675782,8398.273461,9000.658398,PDCD6IP
ENSG00000170260,0.239466446,0.063747653,0.1416565,492.9945271,471.2643171,518.9128525,474.7240804,458.0187332,431.0955768,396.2125844,371.8220706,ZNF212
ENSG00000170264,-0.194943638,0.407440007,0.549673986,88.78079408,73.35244168,73.79035975,92.40812252,93.75223537,123.8876609,78.83299482,78.90123513,FAM161A
ENSG00000170265,0.622235786,0.000152394,0.001320053,2236.231531,2282.969144,2739.764648,2306.579215,1856.489578,1717.685677,1272.589774,1365.977633,ZNF282
ENSG00000170266,0.095138029,0.288759881,0.430768495,7012.638253,6736.366699,7256.448765,6866.285888,6801.919993,6261.349349,6723.328273,6306.181218,GLB1
ENSG00000170270,-0.633021733,0.029323812,0.079490795,299.76574,284.366315,293.9712719,303.4972651,290.0459782,280.4213946,606.0926355,656.8527825,GON7
ENSG00000170271,-0.037336506,0.912017845,0.944583544,569.2415621,913.3886231,460.5946649,871.53543,1095.729251,912.4158811,431.0219587,449.7370403,FAXDC2
ENSG00000170275,-0.343200071,0.009738731,0.034669009,23138.3639,25277.45237,24974.46628,25654.12554,28660.83962,27166.55505,36590.79526,33228.26891,CRTAP
ENSG00000170276,0.139116188,0.490023459,0.624162424,122.2041519,186.8980021,185.6660665,146.7658416,130.8624952,149.0000246,138.2136922,163.7200629,HSPB2
ENSG00000170291,0.035263447,0.843443158,0.897653739,1440.337824,1387.667424,1599.584573,1298.243525,1090.846322,1198.696827,1666.754748,1631.283036,ELP5
ENSG00000170296,-0.751490284,0.000960843,0.005827011,3930.377978,4928.681184,3201.54948,4740.89907,5608.532164,5295.360425,9444.602302,7940.423051,GABARAP
ENSG00000170310,-0.388004233,0.087470719,0.178822775,812.6053858,830.9927297,780.7496129,761.0080678,800.8003438,713.191129,1385.208338,1270.309886,STX8
ENSG00000170312,-0.735717147,0.002577015,0.012465508,1664.901009,1621.792341,1355.600319,1645.226966,1598.67093,2241.697,2862.559137,3768.520243,CDK1
ENSG00000170315,-0.105720294,0.643449628,0.751921176,33096.43555,31741.51069,37303.40719,29397.56047,25941.04821,25161.75135,44381.95228,46055.63721,UBB
ENSG00000170322,0.409383173,0.074799973,0.159248,1309.777833,1361.541897,1532.935216,1443.197443,1351.594727,1347.696852,679.8066047,871.8586482,NFRKB
ENSG00000170325,0.191274454,0.238318338,0.374389205,539.996124,483.3222527,483.2078397,530.8937235,453.1358043,547.4495286,363.4508203,419.1628116,PRDM10
ENSG00000170340,-1.043993989,1.38E-16,9.26E-15,725.9135516,839.0313534,699.8182506,741.0769041,1513.707967,1406.292367,1732.278276,1548.436739,B3GNT2
ENSG00000170345,1.845601414,7.16E-12,3.03E-10,1370.357669,2492.978189,1316.324805,2283.930165,472.66752,547.4495286,691.0684611,365.9044779,FOS
ENSG00000170348,-0.376145407,0.040898693,0.102262816,17069.9355,16431.95176,16700.42465,16811.0306,17221.11374,17216.19947,27819.85673,24718.7707,TMED10
ENSG00000170364,-0.365543885,0.057875988,0.131777515,343.6338971,422.0277466,324.9156163,383.2219199,395.517243,403.4719768,623.4973227,478.338738,SETMAR
ENSG00000170365,-1.146730856,1.03E-13,5.36E-12,438.6815708,562.7036622,370.1419659,472.0061944,1069.361435,1026.258596,983.8767276,1005.990748,SMAD1
ENSG00000170370,-0.078985794,0.768313209,0.845320029,1959.444349,2270.911208,1544.836886,2421.636387,2981.516402,2716.320673,1553.112379,1407.400782,EMX2
ENSG00000170379,1.151021891,1.61E-10,5.68E-09,477.3273282,457.1967255,539.145693,489.2194722,279.3035345,232.7079036,197.5943896,173.5827173,TCAF2
ENSG00000170381,0.033013131,0.888965148,0.928547172,69.98015534,92.44417307,57.12802045,67.04118692,60.54831868,69.47753957,76.78538457,73.96990794,SEMA3E
ENSG00000170385,-0.715881192,3.60E-10,1.18E-08,1137.438644,1113.349389,966.4156793,1128.828634,1773.479786,1742.798041,1934.991691,1690.458963,SLC30A1
ENSG00000170390,0.635243174,0.002279035,0.011309792,729.0469914,705.3892337,742.6642659,780.0332695,563.489998,615.2529106,377.7840921,346.1791691,DCLK2
